CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.058,0.007,0.118,0.004,0.0,0.159,0.064,0.005,0.003,0.01,0.178,0.0,0.063,0.003,0.057,0.027,0.038,0.001,0.001,0.0,0.022,0.026,0.007,0.006,0.02,0.042,0.04,0.022,0.014,0.002,0.003,ps
0.064,0.004,0.112,0.002,0.001,0.131,0.068,0.001,0.0,0.017,0.155,0.0,0.066,0.001,0.057,0.023,0.039,0.002,0.003,0.0,0.031,0.039,0.022,0.024,0.034,0.03,0.041,0.014,0.017,0.001,0.001,ps
0.05189620758483034,0.008982035928143712,0.12574850299401197,0.0,0.0,0.1407185628742515,0.07784431137724551,0.000998003992015968,0.001996007984031936,0.011976047904191617,0.14770459081836326,0.0,0.0658682634730539,0.001996007984031936,0.04890219560878244,0.011976047904191617,0.041916167664670656,0.000998003992015968,0.001996007984031936,0.001996007984031936,0.03093812375249501,0.043912175648702596,0.010978043912175649,0.012974051896207584,0.03493013972055888,0.0499001996007984,0.03592814371257485,0.01996007984031936,0.010978043912175649,0.0,0.005988023952095809,ps
0.06686626746506986,0.003992015968063872,0.1277445109780439,0.001996007984031936,0.0,0.1437125748502994,0.08083832335329341,0.0029940119760479044,0.000998003992015968,0.016966067864271458,0.16766467065868262,0.0,0.046906187624750496,0.000998003992015968,0.04890219560878244,0.015968063872255488,0.04590818363273453,0.0029940119760479044,0.0029940119760479044,0.000998003992015968,0.02594810379241517,0.04491017964071856,0.010978043912175649,0.006986027944111776,0.028942115768463075,0.02694610778443114,0.04291417165668663,0.017964071856287425,0.00499001996007984,0.003992015968063872,0.005988023952095809,ps
0.043,0.003,0.126,0.003,0.0,0.146,0.07,0.001,0.002,0.018,0.172,0.0,0.05,0.001,0.043,0.015,0.05,0.001,0.003,0.0,0.042,0.054,0.005,0.014,0.03,0.027,0.045,0.029,0.005,0.0,0.002,ps
0.047,0.001,0.129,0.003,0.001,0.157,0.077,0.003,0.001,0.016,0.155,0.0,0.063,0.003,0.035,0.021,0.036,0.003,0.003,0.001,0.041,0.05,0.007,0.013,0.03,0.025,0.038,0.032,0.008,0.0,0.001,ps
0.048,0.003,0.154,0.0,0.0,0.154,0.091,0.003,0.002,0.015,0.171,0.0,0.073,0.004,0.032,0.012,0.033,0.003,0.002,0.0,0.023,0.023,0.007,0.009,0.03,0.038,0.035,0.021,0.011,0.001,0.002,ps
0.04890219560878244,0.003992015968063872,0.12375249500998003,0.000998003992015968,0.0,0.1437125748502994,0.08483033932135728,0.0,0.003992015968063872,0.022954091816367265,0.14471057884231536,0.0,0.07884231536926148,0.0,0.0499001996007984,0.02694610778443114,0.038922155688622756,0.003992015968063872,0.0029940119760479044,0.001996007984031936,0.027944111776447105,0.031936127744510975,0.006986027944111776,0.022954091816367265,0.03093812375249501,0.04291417165668663,0.028942115768463075,0.018962075848303395,0.003992015968063872,0.001996007984031936,0.000998003992015968,ps
0.043,0.014,0.123,0.001,0.0,0.151,0.093,0.002,0.001,0.016,0.163,0.0,0.062,0.0,0.035,0.018,0.052,0.001,0.002,0.001,0.027,0.041,0.024,0.018,0.042,0.022,0.024,0.014,0.004,0.0,0.006,ps
0.03796203796203796,0.003996003996003996,0.14085914085914086,0.001998001998001998,0.0,0.14085914085914086,0.09490509490509491,0.001998001998001998,0.006993006993006993,0.022977022977022976,0.17582417582417584,0.0,0.059940059940059943,0.000999000999000999,0.03396603396603397,0.01098901098901099,0.025974025974025976,0.0,0.004995004995004995,0.0,0.03696303696303696,0.03696303696303696,0.001998001998001998,0.01998001998001998,0.03496503496503497,0.01998001998001998,0.04895104895104895,0.027972027972027972,0.002997002997002997,0.000999000999000999,0.002997002997002997,ps
0.04028197381671702,0.0030211480362537764,0.1299093655589124,0.0030211480362537764,0.0,0.15709969788519637,0.07754279959718026,0.002014098690835851,0.002014098690835851,0.014098690835850957,0.1863041289023162,0.0,0.05337361530715005,0.004028197381671702,0.03625377643504532,0.021148036253776436,0.04028197381671702,0.002014098690835851,0.0,0.0,0.025176233635448138,0.03323262839879154,0.014098690835850957,0.016112789526686808,0.04229607250755287,0.027190332326283987,0.044310171198388724,0.019133937562940583,0.004028197381671702,0.0,0.002014098690835851,ps
